state	dendirsta2002	accesscare2004	accesscare2003	accesscare2002	accesscare2001	denscreprog2004	denscreprog2003	denscreprog2002	denscreprog2001	dentsealprog2004	dentsealprog2003	dentsealprog2002	dentsealprog2001	eccbbtdprev2004	eccbbtdprev2003	eccbbtdprev2002	eccbbtdprev2001	fluorcomm2004	fluorcomm2003	fluorcomm2002	fluorcomm2001	fluormouth2004	fluormouth2003	fluormouth2002	fluormouth2001	fluorsupp2004	fluorsupp2003	fluorsupp2002	fluorsupp2001	fluorvarn2004	fluorvarn2003	fluorvarn2002	fluorvarn2001	mguard2004	mguard2003	mguard2002	mguard2001	needsass2004	needsass2003	needsass2002	needsass2001	oralhealthed2004	oralhealthed2003	oralhealthed2002	oralhealthed2001	smokespit2004	smokespit2003	smokespit2002	smokespit2001	percpubfluor2004	percpubfluor2003	percpubfluor2002	percpubfluor2001	percpubfluor2000	percpubfluor1992	fedqualheal1242004	fedqualheal1242003	fedqualheal1242002	fedqualheal1242001	fedqualheal1242000	numrurclin2004	numrurclin2003	numrurclin2002	numrurclin2001	numrurclin2000	commlowclin2004	commlowclin2003	commlowclin2002	commlowclin2001	schdenclin2004	schdenclin2003	schdenclin2002	schdenclin2001	schhealcenoral2004	schhealcenoral2003	schhealcenoral2002	schhealcenoral2001	localhealwden2004	localhealwden2003	localhealwden2002	localhealwden2001
 NJ 	 None 	 168 	 NR* 	 132 	 NR* 	 84 	" 3,850 "	" 3,841 "	 NR* 	 NR* 	 205 	 824 	 yes 	" 1,118 "	" 3,000 "	" 3,652 "	 NR* 	" 1,630,791 "	" 1,120,410 "	" 1,363,124 "	" 1,120,410 "	" 53,192 "	" 55,702 "	" 64,500 "	 yes 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 no 	" 1,500 "	 900 	 500 	 yes 	 yes 	" 3,790 "	" 3,790 "	 yes 	" 32,972 "	" 18,856 "	" 23,714 "	 yes 	 75 	 60 	 100 	 yes 	 21 	 16 	 16 	 16 	 16 	 16 					 27 					 -   	 44 	 40 	 38 	 14 	 NA* 	 4 	 3 	 4 	 1 	 1 	 NR* 	 NR* 	 NA* 	 4 	 5 	 5 
 NM 	 Full time 	 yes 	 yes 	 yes 	 yes 	" 15,500 "	" 15,000 "	" 12,000 "	" 8,000 "	 yes 	" 9,658 "	" 9,000 "	" 8,000 "	 NR* 	" 5,000 "	 yes 	 yes 	" 1,200,978 "	" 1,187,404 "	" 1,187,404 "	" 1,187,404 "	" 5,467 "	" 6,435 "	" 8,152 "	" 9,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 2,160 "	" 2,160 "	" 3,000 "	" 20,000 "	" 20,000 "	" 20,000 "	" 25,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 77 	 77 	 77 	 77 	 77 	 66 					 71 					 14 	 29 	 26 	 35 	 28 	 NA* 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 NA* 	 -   	 -   	 -   
 NY 	 Full time 	 NR* 	 NR* 	 NR* 	 NR* 	" 35,000 "	" 35,000 "	" 32,000 "	" 30,000 "	" 40,000 "	" 30,000 "	" 26,000 "	" 26,000 "	" 20,000 "	" 20,000 "	" 20,000 "	" 20,000 "	" 12,727,120 "	" 12,994,266 "	" 1,200,000 "	" 1,200,000 "	" 115,000 "	" 115,000 "	" 117,000 "	" 115,000 "	" 6,000 "	" 6,000 "	" 6,000 "	" 6,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 yes 	" 50,000 "	" 50,000 "	" 50,000 "	" 50,000 "	 NR* 	 NR* 	 NR* 	 yes 	 73 	 73 	 70 	 68 	 68 	 70 					 78 					 10 				 8 	 NA* 			 75 			 NR* 	 70 	 NA* 			 15 
 NC 	 Full time 	" 1,929 "	 NR* 	 NR* 	 NR* 	" 98,610 "	" 226,186 "	" 236,111 "	" 214,545 "	 yes 	" 1,982 "	 955 	" 3,269 "	 NR* 	 NR* 	 NR* 	" 17,710 "	" 5,260,374 "	" 4,862,220 "	" 4,862,220 "	" 4,862,220 "	 NR* 	" 233,817 "	" 244,545 "	" 245,827 "	 NR* 	 NR* 	 NR* 	 NR* 	" 43,125 "	 NR* 	 NR* 	" 1,019 "	 NR* 	 NR* 	 NR* 	" 7,222 "	 NR* 	 NR* 	 NR* 	" 214,545 "	" 163,122 "	" 273,553 "	" 220,977 "	" 274,058 "	 NR* 	 NR* 	 NR* 	" 3,862 "	 85 	 83 	 83 	 83 	 83 	 79 					 44 					 125 	 86 	 33 	 31 	 31 	 NA* 	 -   	 -   	 NR* 	 -   	 -   	 -   	 NR* 	 NA* 	 39 	 38 	 38 
 ND 	 Full time 	 yes 	 261 	 261 	 223 	 380 	 410 	 410 	 942 	 NR* 	 543 	 453 	 565 	" 1,500 "	" 1,411 "	" 1,411 "	" 1,681 "	" 551,854 "	" 531,738 "	" 518,893 "	" 531,738 "	" 3,047 "	" 3,151 "	" 3,177 "	" 3,345 "	" 1,443 "	" 1,350 "	" 1,454 "	" 1,454 "	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 394 	" 6,900 "	" 6,986 "	" 6,986 "	" 6,966 "	 yes 	 475 	 475 	 840 	 96 	 95 	 96 	 95 	 95 	 96 					 1 					 80 	 1 	 1 	 1 	 1 	 NA* 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 NA* 	 3 	 3 	 3 
 OH 	 Full time 	" 19,886 "	" 30,539 "	" 18,496 "	" 2,627 "	 NR* 	 NR* 	 NR* 	 NR* 	" 20,104 "	" 30,622 "	" 28,000 "	" 28,575 "	 yes 	 yes 	 yes 	 yes 	" 8,952,330 "	" 8,951,157 "	" 845,157 "	" 8,355,002 "	" 51,659 "	" 53,500 "	" 54,244 "	" 57,609 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,240 "	" 1,200 "	 NR* 	 yes 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 91 	 91 	 90 	 88 	 88 	 88 					 67 					 17 	 67 	 88 	 83 	 76 	 NA* 	 4 	 3 	 2 	 -   	 -   	 -   	 -   	 NA* 	 18 	 20 	 16 
 OK 	 Full time 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	" 39,187 "	" 44,590 "	" 39,279 "	 NR* 	 yes 	 yes 	 yes 	 NR* 	" 80,120 "	" 8,304 "	" 5,115 "	" 2,475,081 "	" 2,164,330 "	" 2,164,330 "	" 2,164,330 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 367 	 180 	 175 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 39,187 "	" 44,595 "	" 38,944 "	 NR* 	" 6,429 "	" 12,125 "	" 11,678 "	 NR* 	" 54,607 "	" 57,028 "	" 48,343 "	 NR* 	" 38,814 "	" 47,329 "	" 40,128 "	 76 	 75 	 75 	 75 	 75 	 58 					 19 					 61 	 NR* 	 43 	 47 	 47 	 NA* 	 7 	 11 	 11 	 NR* 	 36 	 64 	 NR* 	 NA* 	 36 	 34 	 34 
 OR 	 Full time 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 750 	 NR* 	 NR* 	 yes 	 yes 	 yes 	" 553,125 "	" 629,236 "	" 612,485 "	" 612,485 "	 NR* 	" 9,232 "	" 8,254 "	" 11,564 "	 NR* 	" 8,160 "	" 8,858 "	" 39,734 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 3,956 "	 NR* 	 yes 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 23 	 25 					 35 					 30 	 NR* 	 30 	 30 	 32 	 NA* 	 1 	 1 	 -   	 NR* 	 1 	 1 	 -   	 NA* 	 6 	 6 	 3 
 PA 	 Full time 	" 1,605,623 "	 yes 	 yes 	 yes 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 5,615,001 "	" 5,503,126 "	" 5,503,126 "	" 5,825,328 "	" 7,423 "	" 8,974 "	" 8,573 "	 NR* 	" 96,168 "	" 96,168 "	" 95,000 "	 NR* 	 NR* 	" 4,173 "	 NR* 	 NR* 	 yes 	 yes 	 yes 	 yes 	" 13,491 "	" 10,000 "	" 6,000 "	" 6,000 "	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 NR* 	 54 	 53 	 53 	 54 	 54 	 51 					 101 					 53 	 96 	 86 	 74 	 75 	 NA* 	 -   	 NR* 	 NR* 	 NR* 	 3 	 3 	 3 	 NA* 	 2 	 8 	 2 
 RI 	 Part time 	 NR* 	 NR* 	 NR* 	 yes 	 450 	 NR* 	 NR* 	 yes 	 NR* 	" 6,000 "	" 6,000 "	" 6,000 "	 500 	 NR* 	 NR* 	 NR* 	" 841,156 "	" 842,797 "	" 842,797 "	" 842,797 "	" 1,500 "	" 1,500 "	" 1,500 "	" 1,500 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 4,000 "	 NR* 	 NR* 	 yes 	 500 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 yes 	 89 	 85 	 85 	 85 	 85 	 100 					 11 					 1 	 11 	 9 	 9 	 9 	 NA* 	 2 	 2 	 2 	 1 	 1 	 1 	 -   	 NA* 	 -   	 -   	 -   
 SC 	 Full time 	 yes 	 yes 	 NR* 	 yes 	 yes 	" 33,000 "	 NR* 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	" 3,107,773 "	" 3,086,974 "	" 3,096,974 "	" 3,086,974 "	 yes 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 18,000 "	 NR* 	 yes 	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 91 	 91 	 91 	 91 	 91 	 90 					 56 					 96 	 NR* 	 7 	 NR* 	 9 	 NA* 		 NR* 	 1 			 NR* 	 -   	 NA* 		 NR* 	 2 
 SD 	 None 	 NR* 	 NR* 	 NR* 	 no 	 711 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 no 	 NR* 	 NR* 	 NR* 	 NR* 	" 583,156 "	" 608,476 "	" 539,326 "	" 553,503 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,829 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 12,000 "	" 12,000 "	 NR* 	 NR* 	 78 	 89 	 86 	 88 	 88 	 100 					 20 					 55 	 4 	 1 	 1 	 1 	 NA* 	 -   	 NR* 	 -   			 NR* 	 -   	 NA* 			 -   
 TN 	 Full time 	" 42,720 "	 NR* 	 NR* 	 no 	" 102,753 "	 NR* 	 NR* 	 NR* 	" 40,788 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 5,242,608 "	" 4,749,493 "	" 4,749,493 "	" 4,749,493 "	" 6,107 "	 NR* 	 NR* 	 NR* 	 123 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,940 "	 NR* 	 NR* 	 NR* 	" 127,111 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 96 	 94 	 95 	 95 	 95 	 92 					 58 					 34 	 16 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 	 NR* 	 42 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 
 TX 	 Full time 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 3,228 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 14,309,390 "	" 11,868,046 "	" 11,868,046 "	" 11,868,046 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 66 	 66 	 66 	 66 	 66 	 64 					 106 					 391 	 28 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 8 	 2 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 
 UT 	 Full time 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	" 4,502 "	" 4,022 "	 yes 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	" 50,958 "	" 43,816 "	" 59,486 "	" 43,816 "	" 18,101 "	" 32,446 "	" 32,446 "	" 32,146 "	 yes 	 yes 	 yes 	 yes 	 NA* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,511 "	" 1,551 "	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 yes 	 2 	 2 	 3 	 2 	 2 	 3 					 14 					 15 	 9 	 9 	 9 	 5 	 NA* 	 1 	 1 	 -   	 -   	 -   	 -   	 -   	 NA* 	 1 	 1 	 1 
 VT 	 Full time 	 yes 	" 54,268 "	" 54,268 "	" 134,000 "	" 4,500 "	" 4,000 "	" 4,000 "	" 5,000 "	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	" 246,552 "	" 240,579 "	" 246,365 "	" 240,579 "	" 19,000 "	" 19,000 "	" 19,000 "	" 19,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 no 	 yes 	 yes 	 yes 	 no 	 56 	 54 	 56 	 54 	 54 	 57 					 6 					 23 	 7 	 5 	 5 	 3 	 NA* 	 1 	 1 	 1 	 -   	 -   	 -   	 1 	 NA* 	 -   	 -   	 -   
 VA 	 Full time 	" 27,773 "	" 30,000 "	" 37,000 "	" 40,000 "	" 9,983 "	" 15,000 "	" 10,000 "	" 10,000 "	 yes 	" 14,000 "	" 15,000 "	" 15,000 "	" 6,282 "	" 20,000 "	" 45,000 "	 yes 	" 5,416,244 "	" 5,677,551 "	" 5,677,551 "	" 5,677,551 "	" 47,500 "	" 48,000 "	" 45,000 "	" 45,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 5,000 "	" 6,000 "	" 6,000 "	" 6,000 "	" 4,662 "	" 10,000 "	" 10,000 "	" 10,000 "	 640 	 350 	 350 	 322 	 94 	 93 	 93 	 93 	 93 	 72 					 43 					 58 	 39 	 78 	 73 	 10 	 NA* 	 1 	 1 	 -   		 -   	 -   	 -   	 NA* 	 69 	 69 	 69 
 WA 	 Full time 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 3,098,975 "	" 2,844,893 "	" 2,844,893 "	" 2,844,893 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 59 	 58 	 58 	 58 	 58 	 53 					 52 					 61 	 NR* 	 NR* 	 NR* 	 NR* 	 NA* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NA* 	 19 	 NR* 	 NR* 
 WV 	 None 	 NR* 	  NR*  	 yes 	" 2,287 "	" 21,311 "	" 10,150 "	" 4,430 "	" 4,430 "	 743 	 755 	 yes 	 yes 	 NR* 	 yes 	" 1,158 "	 yes 	" 1,264,416 "	" 1,207,000 "	" 1,207,000 "	" 1,207,000 "	" 11,499 "	" 9,514 "	" 9,454 "	" 9,454 "	 856 	 515 	 408 	 408 	 NR* 	 NR* 	 NR* 	 NR* 	" 4,730 "	 623 	 NR* 	 449 	 NR* 	" 3,635 "	" 3,565 "	" 3,635 "	" 25,330 "	" 14,513 "	" 2,365 "	 yes 	" 4,034 "	" 6,592 "	" 5,272 "	 NR* 					 87 	 82 					 68 					 69 	 17 	 12 	 9 	 9 	 NA* 	 1 	 1 	 -   	 5 	 5 	 5 	 5 	 NA* 	 6 	 7 	 7 
 WI 	 Full time 	 yes 	 yes 	 yes 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	" 1,786 "	" 2,918 "	" 2,427 "	 yes 	 180 	 yes 	 yes 	 yes 	" 3,462,970 "	" 3,108,738 "	" 3,108,738 "	" 3,108,738 "	" 10,394 "	" 8,863 "	" 10,023 "	 yes 	" 1,763 "	" 2,245 "	" 2,057 "	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 3,307 "	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	" 90,000 "	" 80,000 "	" 80,000 "	 yes 	 89 	 89 	 89 	 89 	 89 	 93 					 13 					 65 	 36 	 18 	 12 	 15 	 NA* 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 NA* 	 55 	 28 	 8 
 WY 	 Full time 	 NR* 	" 2,100 "	" 2,728 "	 845 	 NR* 	" 3,325 "	" 4,000 "	" 4,269 "	 NR* 	" 1,520 "	" 1,500 "	" 1,147 "	 NR* 	 NR* 	 NR* 	 NR* 	" 159,828 "	" 149,774 "	" 149,774 "	" 149,774 "	 NR* 	" 2,658 "	" 3,000 "	" 2,350 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 NR* 	" 4,150 "	" 4,000 "	" 7,560 "	 NR* 	 NR* 	 NR* 	 NR* 	 37 	 30 	 30 	 30 	 30 	 36 					 8 					 18 	 NR* 	 1 	 -   	 1 	 NA* 	 -   	 -   	 -   	 NR* 	 -   	 -   	 -   	 NA* 	 -   	 -   	 -   
																																																																																	
																																																																					*Not Reported				*Not Reported				*Not Reported				*Not Reported
*Not Reported																																																																																	
*Not Asked																																																																																	
